,id,date,status,no2
0,9629,2020-10-01 00:00:00+00:00,FINAL,
1,9629,2020-10-01 00:30:00+00:00,FINAL,13.387
2,9629,2020-10-01 01:00:00+00:00,FINAL,
3,9629,2020-10-01 01:30:00+00:00,FINAL,9.945
4,9629,2020-10-01 02:00:00+00:00,FINAL,
5,9629,2020-10-01 02:30:00+00:00,FINAL,10.136
6,9629,2020-10-01 03:00:00+00:00,FINAL,
7,9629,2020-10-01 03:30:00+00:00,FINAL,17.786
8,9629,2020-10-01 04:00:00+00:00,FINAL,
9,9629,2020-10-01 04:30:00+00:00,FINAL,54.124
10,9629,2020-10-01 05:00:00+00:00,FINAL,
11,9629,2020-10-01 05:30:00+00:00,FINAL,52.785
12,9629,2020-10-01 06:00:00+00:00,FINAL,
13,9629,2020-10-01 06:30:00+00:00,FINAL,50.299
14,9629,2020-10-01 07:00:00+00:00,FINAL,
15,9629,2020-10-01 07:30:00+00:00,FINAL,44.179
16,9629,2020-10-01 08:00:00+00:00,FINAL,
17,9629,2020-10-01 08:30:00+00:00,FINAL,30.026
18,9629,2020-10-01 09:00:00+00:00,FINAL,
19,9629,2020-10-01 09:30:00+00:00,FINAL,32.704
20,9629,2020-10-01 10:00:00+00:00,FINAL,
21,9629,2020-10-01 10:30:00+00:00,FINAL,24.289
22,9629,2020-10-01 11:00:00+00:00,FINAL,
23,9629,2020-10-01 11:30:00+00:00,FINAL,28.688
24,9629,2020-10-01 12:00:00+00:00,FINAL,
25,9629,2020-10-01 12:30:00+00:00,FINAL,30.409
26,9629,2020-10-01 13:00:00+00:00,FINAL,
27,9629,2020-10-01 13:30:00+00:00,FINAL,43.031
28,9629,2020-10-01 14:00:00+00:00,FINAL,
29,9629,2020-10-01 14:30:00+00:00,FINAL,37.485
30,9629,2020-10-01 15:00:00+00:00,FINAL,
31,9629,2020-10-01 15:30:00+00:00,FINAL,38.824
32,9629,2020-10-01 16:00:00+00:00,FINAL,
33,9629,2020-10-01 16:30:00+00:00,FINAL,58.714
34,9629,2020-10-01 17:00:00+00:00,FINAL,
35,9629,2020-10-01 17:30:00+00:00,FINAL,64.642
36,9629,2020-10-01 18:00:00+00:00,FINAL,
37,9629,2020-10-01 18:30:00+00:00,FINAL,77.265
38,9629,2020-10-01 19:00:00+00:00,FINAL,
39,9629,2020-10-01 19:30:00+00:00,FINAL,50.108
40,9629,2020-10-01 20:00:00+00:00,FINAL,
41,9629,2020-10-01 20:30:00+00:00,FINAL,18.551
42,9629,2020-10-01 21:00:00+00:00,FINAL,
43,9629,2020-10-01 21:30:00+00:00,FINAL,19.508
44,9629,2020-10-01 22:00:00+00:00,FINAL,
45,9629,2020-10-01 22:30:00+00:00,FINAL,16.83
46,9629,2020-10-01 23:00:00+00:00,FINAL,
47,9629,2020-10-01 23:30:00+00:00,FINAL,13.961
48,9629,2020-10-02 00:00:00+00:00,FINAL,
49,9629,2020-10-02 00:30:00+00:00,FINAL,10.136
50,9629,2020-10-02 01:00:00+00:00,FINAL,
